38 703
4 32 1177.73
4 33 1279.47
4 34 1298.18
4 35 1216.95
4 36 1379.17
4 37 1279
4 38 1511.84
5 6 139.406
5 7 127.004
5 8 238.63
5 9 249.697
5 10 912.467
5 11 423.326
5 12 394.712
5 13 329.112
5 14 889.639
5 15 350.995
5 16 436.379
5 17 454.911
5 18 464.301
5 19 469.633
5 20 564.02
5 21 1219.61
5 22 580.092
5 23 650.91
5 24 603.927
5 25 690.177
5 26 717.487
5 27 857.656
5 28 795.153
5 29 1144.53
5 30 1068.25
5 31 1181.62
5 32 1223.5
5 33 1193.53
5 34 1207.41
5 35 1209.97
5 36 1268.51
5 37 1238.91
5 38 1462.21
6 7 77.1762
6 8 176.354
6 9 193.822
6 10 808.472
6 11 431.653
6 12 383.206
6 13 205.565
6 14 776.965
6 15 225.011
6 16 392.723
6 17 411.961
6 18 418.769
6 19 423.695
6 20 426.931
6 21 1099.88
6 22 455.275
6 23 513.884
6 24 488.769
6 25 555.173
6 26 582.282
6 27 796.321
6 28 697.3
6 29 1005.75
6 30 931.161
6 31 1109.61
6 32 1086.93
6 33 1100.87
6 34 1117.49
6 35 1084.61
6 36 1190.81
6 37 1124.96
6 38 1352.83
7 8 119.259
7 9 133.884
7 10 881.572
7 11 356.784
7 12 311.724
7 13 206.553
7 14 847.27
7 15 229.296
7 16 331.826
7 17 351.004
7 18 358.967
7 19 364.12
7 20 451.168
7 21 1166.13
7 22 455.586
7 23 537.221
7 24 477.127
7 25 572.806
7 26 600.26
7 27 746.003
7 28 669.79
7 29 1047.94
7 30 953.129
7 31 1065.57
7 32 1107.1
7 33 1069.9
7 34 1084.61
7 35 1084.64
7 36 1150.16
7 37 1111.91
7 38 1335.44
8 9 18.4195
8 10 926.365
8 11 273.085
8 12 215.212
8 13 154.471
8 14 882.045
8 15 176.445
8 16 216.454
8 17 235.702
8 18 242.768
8 19 247.768
8 20 403.765
8 21 1185.59
8 22 374.669
8 23 484.623
8 24 381.645
8 25 510.739
8 26 537.889
8 27 626.838
8 28 558.031
8 29 1016.04
8 30 890.41
8 31 946.537
8 32 1040.57
8 33 954.978
8 34 968.785
8 35 994.033
8 36 1031.69
8 37 1008.83
8 38 1228.37
9 10 943.166
9 11 255.229
9 12 196.853
9 13 165.204
9 14 898.161
9 15 186.384
9 16 199.47
9 17 218.722
9 18 226.091
9 19 231.153
9 20 411.659
9 21 1200.21
9 22 376.309
9 23 491.245
9 24 379.499
9 25 515.581
9 26 542.575
9 27 612.341
9 28 549.774
9 29 1024.74
9 30 894.275
9 31 933.32
9 32 1043.55
9 33 944.929
9 34 958.246
9 35 991.891
9 36 1019.21
9 37 1003.26
9 38 1221.41
10 11 1195.77
10 12 1130.99
10 13 800.676
10 14 88.0596
10 15 789.193
10 16 1087.38
10 17 1102.36
10 18 1102.03
10 19 1104.67
10 20 678.098
10 21 354.819
10 22 819.277
10 23 681.089
10 24 897.032
10 25 726.452
10 26 728.68
10 27 1340.32
10 28 1106.65
10 29 635.245
10 30 826.022
10 31 1551.07
10 32 940.175
10 33 1431.77
10 34 1461.82
10 35 1140.67
10 36 1591.02
10 37 1292.19
10 38 1515.03
11 12 69.9648
11 13 399.707
11 14 1147.49
11 15 415.354
11 16 158.801
11 17 159.692
11 18 169.979
11 19 172.781
11 20 610.841
11 21 1439.38
11 22 525.582
11 23 675.711
11 24 490.666
11 25 682.815
11 26 706.82
11 27 503.364
11 28 559.879
11 29 1214.25
11 30 1036.75
11 31 832.204
11 32 1172.7
11 33 899.899
11 34 904.462
11 35 1060.3
11 36 929.176
11 37 1024.83
11 38 1216.42
12 13 332.405
12 14 1081.14
12 15 347.219
12 16 97.9448
12 17 104.623
12 18 116.242
12 19 120.345
12 20 540.907
12 21 1370.59
12 22 457.693
12 23 606.291
12 24 426.037
12 25 614.423
12 26 638.733
12 27 488.553
12 28 513.433
12 29 1145.2
12 30 971.83
12 31 818.877
12 32 1109.81
12 33 870.824
12 34 877.78
12 35 1006.77
12 36 913.103
12 37 980.497
12 38 1179.01
13 14 748.935
13 15 23.3482
13 16 289.114
13 17 305.46
13 18 306.876
13 19 310.257
13 20 252.163
13 21 1041.14
13 22 251.394
13 23 335.786
13 24 283.725
13 25 367.73
13 26 395.191
13 27 633.298
13 28 500.084
13 29 862.303
13 30 748.689
13 31 929.924
13 32 901.752
13 33 904.377
13 34 922.8
13 35 881.545
13 36 1005.3
13 37 919.494
13 38 1148.03
14 15 735.635
14 16 1031.91
14 17 1046.09
14 18 1045.02
14 19 1047.37
14 20 607.308
14 21 338.892
14 22 747.536
14 23 603.866
14 24 824.855
14 25 647.073
14 26 647.841
14 27 1267.38
14 28 1029.09
14 29 554.165
14 30 738.132
14 31 1470.34
14 32 853.698
14 33 1347.44
14 34 1377.76
14 35 1052.62
14 36 1508.28
14 37 1204.74
14 38 1427.12
15 16 298.481
15 17 314.059
15 18 314.644
15 19 317.723
15 20 229.014
15 21 1024.3
15 22 230.535
15 23 312.461
15 24 266.467
15 25 344.485
15 26 371.949
15 27 628.956
15 28 486.999
15 29 839.782
15 30 725.415
15 31 921.193
15 32 878.579
15 33 890.945
15 34 909.962
15 35 860.517
15 36 995.035
15 37 901.041
15 38 1130.44
16 17 19.253
16 18 27.9785
16 19 33.338
16 20 466.013
16 21 1308.77
16 22 369.905
16 23 524.681
16 24 331.964
16 25 527.824
16 26 551.079
16 27 422.625
16 28 418.479
16 29 1060.52
16 30 878.01
16 31 750.146
16 32 1014.1
16 33 786.636
16 34 795.623
16 35 908.959
16 36 840.879
16 37 885.673
16 38 1087.89
17 18 11.8276
17 19 16.6667
17 20 475.578
17 21 1320.55
17 22 375.163
17 23 531.985
17 24 333.619
17 25 533.179
17 26 555.92
17 27 404.901
17 28 408.94
17 29 1066.11
17 30 879.055
17 31 733.022
17 32 1013.52
17 33 772.526
17 34 780.983
17 35 903.107
17 36 824.298
17 37 876.096
17 38 1076.27
18 19 5.36476
18 20 471.18
18 21 1317.5
18 22 368.33
18 23 526.164
18 24 325.11
18 25 526.289
18 26 548.755
18 27 394.679
18 28 397.236
18 29 1059.21
18 30 870.088
18 31 722.387
18 32 1003.92
18 33 760.879
18 34 769.432
18 35 891.973
18 36 813.376
18 37 864.369
18 38 1064.44
19 20 472.1
19 21 1318.98
19 22 368.011
19 23 526.359
19 24 323.802
19 25 525.905
19 26 548.213
19 27 389.314
19 28 393.089
19 29 1058.79
19 30 868.415
19 31 717.04
19 32 1001.8
19 33 755.86
19 34 764.337
19 35 888.575
19 36 808.064
19 37 860.162
19 38 1059.83
20 21 850.931
20 22 141.401
20 23 86.9555
20 24 219.29
20 25 132.865
20 26 158.554
20 27 662.524
20 28 441.621
20 29 613.556
20 30 504.311
20 31 896.154
20 32 660
20 33 814.391
20 34 839.724
20 35 682.67
20 36 951.077
20 37 760.367
20 38 996.565
21 22 978.969
21 23 817.648
21 24 1050.63
21 25 844.301
21 26 834.805
21 27 1475.31
21 28 1217.48
21 29 496.494
21 30 774.208
21 31 1623.23
21 32 835.419
21 33 1467.22
21 34 1500.01
21 35 1094.39
21 36 1641.91
21 37 1273.04
21 38 1468.55
22 23 163.626
22 24 77.8933
22 25 158.019
22 26 181.289
22 27 521.155
22 28 306.696
22 29 690.948
22 30 521.729
22 31 761.524
22 32 668.225
22 33 694.705
22 34 717.797
22 35 630.151
22 36 821.352
22 37 675.443
22 38 907.9
23 24 232.983
23 25 56.7952
23 26 77.1487
23 27 667.074
23 28 425.581
23 29 539.691
23 30 417.371
23 31 872.934
23 32 573.059
23 33 772.877
23 34 800.202
23 35 605.425
23 36 919.848
23 37 695.452
23 38 931.896
24 25 214.142
24 26 232.226
24 27 443.318
24 28 235.223
24 29 741.031
24 30 546.096
24 31 688.197
24 32 684.427
24 33 632.05
24 34 653.455
24 35 612.458
24 36 751.278
24 37 636.486
24 38 864.305
25 26 27.4676
25 27 632.691
25 28 383.197
25 29 532.939
25 30 381.013
25 31 824.924
25 32 534.298
25 33 719.182
25 34 746.993
25 35 551.296
25 36 868.93
25 37 638.692
25 38 875.147
26 27 640.61
26 28 386.697
26 29 510.794
26 30 353.575
26 31 822.572
26 32 506.843
26 33 710.506
26 34 738.977
26 35 528.285
26 36 863.598
26 37 620.911
26 38 857.16
27 28 264.634
27 29 1099.14
27 30 834.146
27 31 330.347
27 32 921.065
27 33 415.06
27 34 412.919
27 35 709.441
27 36 425.907
27 37 605.268
27 38 752.116
28 29 834.922
28 30 576.27
28 31 455.038
28 32 676.962
28 33 404.34
28 34 422.97
28 35 508.751
28 36 516.057
28 37 467.222
28 38 674.014
29 30 296.3
29 31 1182.31
29 32 339.03
29 33 1005.84
29 34 1039.37
29 35 604.119
29 36 1185.54
29 37 788.677
29 38 974.226
30 31 888.756
30 32 156.9
30 33 709.568
30 34 743.114
30 35 323.391
30 36 889.44
30 37 498.874
30 38 701.018
31 32 922.315
31 33 210.744
31 34 183.086
31 35 649.86
31 36 101.875
31 37 479.323
31 38 523.734
32 33 725.208
32 34 758.482
32 35 287.422
32 36 905.546
32 37 477.967
32 38 640.8
33 34 33.6249
33 35 445.322
33 36 180.979
33 37 269.013
33 38 342.238
34 35 477.871
34 36 147.414
34 37 299.35
34 38 354.852
35 36 623.488
35 37 190.545
35 38 377.783
36 37 440.559
36 38 444.227
37 38 236.489
